name,P_unbind_DNA,rand_num,class,time_step
"[7, 85, 199]",0.2,0.8906627561732029,pair,5
"[16, 23, 106]",0.2,0.722171091922017,pair,15
"[17, 20, 187]",0.2,0.9834365129004482,pair,17
"[28, 70, 173]",0.2,0.01575652054347787,pair,26
"[31, 84, 191]",0.2,0.02546297636276429,pair,28
"[22, 66, 151]",0.2,0.18322386974858929,pair,29
"[33, 72, 188]",0.2,0.896681493233615,pair,35
"[47, 78, 115]",0.2,0.7547389302271165,pair,40
"[38, 56, 152]",0.2,0.6742125124683879,pair,41
"[44, 187, 85]",0.2,0.8306507078552837,pair,43
"[60, 33, 116]",0.2,0.4573735048057339,pair,50
"[46, 196, 92]",0.2,0.3788009341382831,pair,53
"[80, 106, 72]",0.2,0.0471500834071108,pair,61
"[89, 131, 92]",0.2,0.2806846588417621,pair,66
"[90, 34, 155]",0.2,0.9888161729860306,pair,67
"[92, 55, 148]",0.2,0.7175693210626096,pair,69
"[100, 115, 67]",0.2,0.6947694600028215,pair,78
"[108, 152, 25]",0.2,0.8192347901094049,pair,81
"[109, 2, 169]",0.2,0.4155567259984484,pair,82
"[120, 199, 82]",0.2,0.14548598658485412,pair,97
"[129, 34, 174]",0.2,0.7385747255868577,pair,99
"[139, 92, 155]",0.2,0.32251608958025346,pair,103
"[140, 163, 2]",0.2,0.45643812076246026,pair,103
"[158, 107, 17]",0.2,0.8162831916762489,pair,118
"[155, 98, 198]",0.2,0.5135091876770966,pair,119
"[161, 6, 139]",0.2,0.2246491910516062,pair,120
"[162, 9, 163]",0.2,0.3574944414422715,pair,120
"[163, 56, 123]",0.2,0.5360104726895781,pair,121
"[171, 87, 148]",0.2,0.7382004100348596,pair,125
"[173, 165, 23]",0.2,0.1392440289510507,pair,127
"[167, 85, 101]",0.2,0.9266803465136797,pair,128
"[177, 96, 144]",0.2,0.3636579218674104,pair,128
"[183, 78, 124]",0.2,0.06200482082986103,pair,128
"[181, 143, 30]",0.2,0.5508503196206165,pair,129
"[190, 173, 14]",0.2,0.9873851031724395,pair,133
"[192, 115, 34]",0.2,0.6519513098525838,pair,135
"[182, 157, 80]",0.2,0.13516619235814564,pair,138
"[197, 169, 89]",0.2,0.8411034851606646,pair,140
"[199, 188, 33]",0.2,0.06206797313808021,pair,144
"[200, 24, 115]",0.2,0.3621318805649044,pair,147
"[207, 166, 85]",0.2,0.0780621530132578,pair,148
"[208, 121, 97]",0.2,0.5758986447267826,pair,151
"[213, 125, 19]",0.2,0.9935232233722433,pair,154
"[216, 107, 99]",0.2,0.9075417203957558,pair,156
"[198, 172, 23]",0.2,0.8276538122588223,pair,158
"[217, 49, 103]",0.2,0.5371302564862239,pair,160
"[218, 122, 57]",0.2,0.1905004133309478,pair,162
"[229, 17, 161]",0.2,0.9750161343629458,pair,163
"[230, 130, 23]",0.2,0.14703242532954308,pair,165
"[234, 105, 24]",0.2,0.881952330574753,pair,167
"[237, 149, 34]",0.2,0.16574875456023763,pair,171
"[240, 199, 33]",0.2,0.24882466019452643,pair,172
"[241, 143, 38]",0.2,0.190649660328838,pair,173
"[243, 106, 28]",0.2,0.014134476988990285,pair,177
"[233, 80, 121]",0.2,0.9221596869817412,pair,178
"[249, 53, 196]",0.2,0.5368611777060445,pair,180
"[250, 9, 123]",0.2,0.1394892519307811,pair,181
"[261, 72, 106]",0.2,0.26658557156173623,pair,184
"[269, 181, 30]",0.2,0.36799138473592385,pair,190
"[271, 12, 123]",0.2,0.8430738162755671,pair,191
"[242, 62, 157]",0.2,0.13840711144532725,pair,195
"[283, 101, 56]",0.2,0.2228365009394282,pair,198
"[291, 17, 123]",0.2,0.34666104879168813,pair,201
"[276, 24, 143]",0.2,0.9807036117974539,pair,203
"[288, 92, 117]",0.2,0.5998579374502141,pair,203
"[296, 98, 132]",0.2,0.8799054764901999,pair,204
"[300, 97, 130]",0.2,0.23462578961412173,pair,209
"[302, 105, 98]",0.2,0.712137419279808,pair,214
"[293, 139, 5]",0.2,0.9812049725268894,pair,217
"[319, 146, 97]",0.2,0.3518772815406187,pair,217
"[318, 122, 24]",0.2,0.28390240342854856,pair,219
"[315, 131, 64]",0.2,0.5155240411987388,pair,222
"[324, 28, 130]",0.2,0.9844506293228426,pair,222
"[328, 11, 186]",0.2,0.6193928783857471,pair,223
"[325, 113, 12]",0.2,0.4599713343489352,pair,226
"[338, 144, 12]",0.2,0.1072427025295124,pair,231
"[336, 36, 172]",0.2,0.5100064876341897,pair,234
"[341, 175, 56]",0.2,0.5965124264205806,pair,234
"[342, 27, 199]",0.2,0.902388055736032,pair,238
"[346, 91, 151]",0.2,0.1232931947367405,pair,239
"[352, 101, 80]",0.2,0.23189270735375755,pair,240
"[355, 97, 104]",0.2,0.5271047605330619,pair,240
"[347, 182, 96]",0.2,0.7963402765063274,pair,241
"[358, 120, 6]",0.2,0.3763493344293264,pair,242
"[361, 161, 19]",0.2,0.7777974689128365,pair,243
"[363, 183, 56]",0.2,0.3222481279827698,pair,244
"[350, 143, 5]",0.2,0.8829192020753261,pair,245
"[367, 24, 103]",0.2,0.07056468776499847,pair,247
"[366, 87, 196]",0.2,0.5969006840415418,pair,248
"[369, 76, 109]",0.2,0.965640262350569,pair,248
"[370, 93, 141]",0.2,0.44015032956095457,pair,249
"[372, 181, 64]",0.2,0.7826999918370401,pair,252
"[365, 136, 27]",0.2,0.16534412296026446,pair,253
"[383, 121, 17]",0.2,0.36475172759226326,pair,254
"[393, 65, 146]",0.2,0.3101426802583397,pair,262
"[396, 143, 36]",0.2,0.863429419021275,pair,264
"[374, 182, 80]",0.2,0.5666612048769015,pair,266
"[409, 51, 141]",0.2,0.2980998117108138,pair,271
"[413, 25, 123]",0.2,0.3380246494086835,pair,273
"[395, 67, 109]",0.2,0.37701468100121827,pair,274
"[416, 140, 28]",0.2,0.817975097217743,pair,275
"[412, 29, 180]",0.2,0.3603931353312806,pair,276
"[419, 192, 64]",0.2,0.43105262015526635,pair,279
"[414, 101, 82]",0.2,0.3798370123604785,pair,281
"[424, 120, 57]",0.2,0.34453873417356407,pair,281
"[422, 69, 151]",0.2,0.9153561760875293,pair,282
"[429, 8, 131]",0.2,0.7534493506648198,pair,285
"[430, 74, 151]",0.2,0.8402770447097404,pair,287
"[442, 15, 181]",0.2,0.707206189377612,pair,290
"[425, 105, 75]",0.2,0.08487428934693331,pair,291
"[439, 107, 99]",0.2,0.8402756755745701,pair,294
"[453, 190, 34]",0.2,0.8823683611175555,pair,299
